id;lineup
2339461;"Aayna; Alycia Bezgo; NMSS; André Dancekowski; Arter; Ava Eva; VTT (BE); Ays (NL); Benwal; Bibi Seck"
2291895;"A For Alpha; Adam Curtain; Adi (CO); Alex Kassian; Andrija Mlacovic; Apiento; Aria Santillana; Armând; babyschön; Baldo"
2450200;"Laurent Garnier; Job Jobse; Roi Perez; GRETA (2); Kapote; Arpy Brown; Gee Lane; ALOT"
2458255;"Jane Fitz; Jeff Mills; Sampha; A Guy Called Gerald; Alex Wilcox; Ben UFO; Call Super; Objekt; Pariah; Benny Rodrigues"
2236226;"ALCATRAZ; Confidence Man; D. Tiffany; dj g2g; DJ Gigola; DJ Heartstring; HAAi; Helena Hauff; James Newmarch; Job Jobse"
2318797;"Aldonna; Alycia Bezgo; ØTTA; ANOTR; Ape Drums; Arter; séa (BE); Asian Sal; BASHKKA; BAVR"
2403796;"Alex Kassian; Eoin DJ; Jessica Nightlife; Job Jobse; LIA; limbic sis"
2465223;"Doudou MD; Emmz; Emvae; Moxes; Job Jobse; LAMMER; SAIDAH; Sam Alfred"
2442640;Job Jobse
2230598;"Patrice Bäumel; Nuno dos Santos; Acid Pauli; Ajuma; Alberta Balsam; Alec Dienaar; Altinbas; Âme; ATRIP; LAMMER"
2425980;"Anz; Bakey; bullet tooth; Camille Doe; Club Angel; DJ Cosworth; DJ Seinfeld; Dr Dubplate; Faster Horses; HAAi"
2367725;"Indira Paganotto; BEC; Steve Sai; DjSteph"
2392626;"Indira Paganotto; Héctor Oaks; Avalon Emerson; Helena Hauff; DJ Stingray 313; Sedef Adasï; Gabbs; PARAMIDA; Giammarco Orsini; DJ Senc"
2366979;"MËSTIZA; Les Castizos; Derun; Indira Paganotto; Chris Liebing; ONYVAA; Anna Unusyan"
2371076;"Adriatique; Mind Against; Ben Sterling; Julya Karma; Kevin de Vries; Colyn; ARODES; Vomee; Marian Ariss; Indira Paganotto"
2366984;"MËSTIZA; Floyd Lavine; Pomboklap; Indira Paganotto; Héctor Oaks; NEGITIV"
2366986;"MËSTIZA; MoBlack; OTTMANN; Indira Paganotto; Clara Cuvé; Alignment; SANEM"
2417984;"CamelPhat; Indira Paganotto; SPFDJ; Ben Klock"
2418293;"CamelPhat; Indira Paganotto; Valentino; Patrick Mason; Ramiro Lopez"
2418295;"CamelPhat; Indira Paganotto; BIIA; Marhu"
2418297;"CamelPhat; Indira Paganotto"
